tweet_id,user_id,username,text,created_at,retweets,likes,mentions,retweeted_user,quoted_user,followers,account_created,has_media,reply_to,hashtags
1710444815660523838,1311041536491024384,efrensosa16,@EndWokeness I hear the wall is working pretty good in Israel. But to be fair it is a small country.,Fri Oct 06 23:59:57 +0000 2023,0,0,[],,,370,Tue Sep 29 20:34:03 +0000 2020,0,,[]
1710444716272312339,24506246,haaretzcom,"Saudi Arabia will raise oil production in bid for U.S. Congress support for deal, WSJ says https://t.co/Sfhgrc4I6A",Fri Oct 06 23:59:33 +0000 2023,3,5,[],,,579738,Sun Mar 15 09:43:07 +0000 2009,0,,[]
1710444690397381011,1261364911109804032,idrisyounis,"Ibn Mubarak ( رحمه الله ) said: )

A woman from Bani Israel wiped her son’s impurity with a loaf of bread and then she put the bread in a hole so Allah swt brought upon her hunger until she ate that same loaf of bread.

Kitab Al-Zohd (51/2) https://t.co/EmBvOzjhZw",Fri Oct 06 23:59:27 +0000 2023,0,4,[],,,5081,Fri May 15 18:37:12 +0000 2020,1,,[]
1710444682587566424,1586484339885629440,AfridyBarack,@ZemmourEric ISRAEL MUST STOP DOING HOLOCAUST AND GENOSIDA TO PALESTINE PEOPLE and start living together in peace to make two states solution with justice for both as semitic people. Israel strong because of JEWS ZIONIST lobby of  America.,Fri Oct 06 23:59:25 +0000 2023,0,1,[],,,75,Sat Oct 29 22:26:18 +0000 2022,0,,[]
1710444681761292719,1216788334242160640,BoruPowell,@kristyjbritt free Palestine all day,Fri Oct 06 23:59:25 +0000 2023,0,0,[],,,91,Mon Jan 13 18:25:38 +0000 2020,0,,[]
1710444545870082187,3975655100,djwillanjr,"Alkaline - State Of Emergency 
Vybz Kartel - Roun Corna 
Alkaline - Microwave 
All Chronic Law Jahmiel Diss Tracks
Mavado - Brawla 

Hardest Diss tracks post Gaza Gully era 🎯 

Which ones I miss?",Fri Oct 06 23:58:52 +0000 2023,0,1,[],,,1189,Thu Oct 22 02:52:14 +0000 2015,0,,[]
1710444509283209481,1500006365523238917,jonkessler20,@John_A_Ridge The bottleneck has always resided at 1600 Pennsylvania. The Pentagon budget is a pretty big slush fund for this kind of thing. Nixon handed Israel ~150 late model aircraft without a single supplemental appropriation bill. https://t.co/z9TTjA6qIU Just had them flown over.,Fri Oct 06 23:58:44 +0000 2023,0,1,[],,jonkessler20,1133,Sat Mar 05 07:12:56 +0000 2022,0,,[]
1710444396305662104,1586484339885629440,AfridyBarack,@ZemmourEric The JEWISH ZIONIST lobby also controls America so that the ISRAELI government has been  free from PROSECUTION of a war CRIMINAL. ERICK Zemmour &amp; Vladimir Zelesky are ZIONIST Jewish who always stand with zionist Lobby &amp; Israel,Fri Oct 06 23:58:17 +0000 2023,0,0,[],,,75,Sat Oct 29 22:26:18 +0000 2022,0,,[]
1710444395177382398,1458625197930475522,RamaLamaZilla,"@mikopeled @RobertKennedyJr It's true RFKjr is horrible on the Palestine issue, but in office he would certainly be no worse than any other candidate (except West, but he has 0 chance), and there is at least a possibility he could change. No chance of internal change from any other.",Fri Oct 06 23:58:16 +0000 2023,0,0,[],,,284,Thu Nov 11 02:40:21 +0000 2021,0,,[]
1710444346309243290,572881301,RealReadsReal,"Shalom to the 12 tribes of Israel scattered across the face of the Earth! 🌎🌍

Happy Sabbath to you all!

Let’s keep The Fourth Commandment the GOD of Our Fathers gave us as a sign that we are HIS people! ✊🏾",Fri Oct 06 23:58:05 +0000 2023,0,2,[],,,2111,Sun May 06 18:11:55 +0000 2012,0,,[]
